IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
1,73,2017,April,14,3,1,1,2,0,0,SC       ,BEL,Online TA,TA/TO,0,0,0,A               ,A               ,2,No Deposit     ,9,       NULL,0,Transient,99,0,0,Canceled,2017-02-23
0,9,2017,March,12,23,1,3,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,G               ,G               ,0,No Deposit     ,7,       NULL,0,Transient,190.4,0,1,Check-Out,2017-03-27
0,39,2015,August,33,10,1,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,62,0,0,Check-Out,2015-08-12
0,4,2017,February,7,17,1,2,2,0,0,BB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,28,       NULL,0,Contract,68,0,0,Check-Out,2017-02-20
1,222,2016,July,28,6,1,4,2,0,0,SC       ,PRT,Online TA,TA/TO,0,1,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Contract,90.95,0,1,Canceled,2015-12-14
1,30,2015,September,40,30,0,2,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,3,       NULL,0,Transient,121,0,0,Canceled,2015-09-15
0,6,2015,August,35,23,1,0,2,0,0,SC       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Contract,81,0,0,Check-Out,2015-08-24
0,6,2015,December,50,10,0,2,2,0,0,HB       ,DEU,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,6,       NULL,0,Transient-Party,0,0,1,Check-Out,2015-12-12
1,230,2016,September,37,6,0,5,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,44,       NULL,0,Transient-Party,137,0,0,Canceled,2016-03-16
0,65,2015,October,41,8,0,3,2,0,0,BB       ,DEU,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,27,       NULL,0,Transient,72.25,0,0,Check-Out,2015-10-11
0,37,2016,February,7,10,1,4,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,80.3,0,1,Check-Out,2016-02-15
0,73,2016,October,41,6,0,1,1,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,E               ,0,No Deposit     ,9,       NULL,0,Transient,113.4,0,1,Check-Out,2016-10-07
1,15,2017,July,30,29,2,5,3,0,0,BB       ,CN,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,222.57,0,0,Canceled,2017-07-14
1,309,2017,August,33,15,0,4,2,0,0,SC       ,ITA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,89.1,0,0,Canceled,2016-10-10
0,55,2017,February,6,11,2,2,2,2,0,BB       ,TUN,Online TA,TA/TO,0,0,0,F               ,F               ,0,No Deposit     ,9,       NULL,0,Transient,149.6,0,1,Check-Out,2017-02-15
1,91,2017,February,5,3,0,1,2,0,0,SC       ,CN,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,79.2,0,1,Canceled,2017-01-02
1,285,2017,March,9,2,0,3,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,81.9,0,0,Canceled,2016-07-05
0,4,2016,April,18,30,0,0,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,B               ,0,No Deposit     ,138,       NULL,0,Transient,0,0,0,Check-Out,2016-04-30
0,19,2016,June,26,22,0,2,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,215,       NULL,0,Transient-Party,110,0,0,Check-Out,2016-06-24
0,110,2017,April,17,29,1,1,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient,99,0,1,Check-Out,2017-05-01
0,134,2017,February,8,25,0,1,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,30,       NULL,0,Transient-Party,75,0,0,Check-Out,2017-02-26
0,7,2017,May,22,31,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,238,0,Transient,65,0,0,Check-Out,2017-06-01
1,364,2015,October,42,16,0,2,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,1,0,A               ,A               ,0,Non Refund     ,6,       NULL,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
0,0,2015,October,42,11,2,1,2,0,0,BB       ,BRA,Direct,Direct,0,0,0,A               ,D               ,1,No Deposit     ,       NULL,       NULL,0,Transient,114,0,0,Check-Out,2015-10-14
0,8,2016,November,45,5,0,1,2,0,0,BB       ,CHN,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,359,       NULL,0,Transient-Party,130,0,0,Check-Out,2016-11-06
0,1,2017,January,2,12,0,3,2,0,0,BB       ,TUR,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient,87.27,0,0,Check-Out,2017-01-15
1,132,2016,July,30,21,2,4,2,0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,102.28,0,0,Canceled,2016-03-11
1,129,2017,June,25,24,2,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,30,       NULL,0,Transient,130,0,0,Canceled,2017-02-15
0,44,2016,May,21,19,0,1,2,0,0,SC       ,ESP,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,85,       NULL,0,Transient,76.5,0,0,Check-Out,2016-05-20
0,4,2017,February,5,4,0,1,2,0,0,BB       ,PRT,Corporate,Corporate,1,2,3,A               ,A               ,0,No Deposit     ,       NULL,40,0,Transient,75,0,1,Check-Out,2017-02-05
1,53,2017,April,16,16,1,0,2,0,0,SC       ,AUS,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,108,0,0,Canceled,2017-02-23
1,104,2017,May,20,15,1,2,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,       NULL,       NULL,0,Transient,160,0,0,Canceled,2017-01-31
1,183,2017,June,23,8,0,2,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,86,       NULL,0,Transient,120,0,0,Canceled,2016-12-07
1,32,2017,February,5,3,0,1,2,0,0,SC       ,ITA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,88,0,0,No-Show,2017-02-03
0,10,2015,November,48,23,1,3,2,0,0,SC       ,RUS,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Contract,78.63,0,1,Check-Out,2015-11-27
1,172,2016,June,26,24,0,2,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,34,       NULL,0,Transient-Party,95,0,0,Canceled,2016-04-06
1,179,2016,July,27,1,0,2,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,1,       NULL,0,Transient,65,0,0,Canceled,2016-05-10
1,208,2015,July,31,28,0,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,1,0,B               ,B               ,0,No Deposit     ,9,       NULL,0,Transient-Party,76.5,0,0,Canceled,2015-07-24
0,0,2017,June,22,3,2,1,2,0,0,BB       ,SWE,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,126,0,2,Check-Out,2017-06-06
1,77,2017,January,1,2,1,2,2,0,0,SC       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,79.2,0,0,Canceled,2016-10-17
1,364,2015,October,42,16,0,2,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,1,0,A               ,A               ,0,Non Refund     ,6,       NULL,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
1,164,2016,July,29,10,2,0,2,0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,114.3,0,0,Canceled,2016-01-29
0,54,2017,May,18,4,0,3,2,0,0,SC       ,BEL,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,126,0,2,Check-Out,2017-05-07
1,335,2017,January,1,2,1,4,2,0,0,HB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient,109.65,0,0,Canceled,2016-02-02
1,240,2017,July,30,23,2,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,       NULL,       NULL,0,Transient,110,0,0,Canceled,2016-11-25
0,81,2017,May,19,13,2,2,2,0,0,SC       ,ARG,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,121.5,0,0,Check-Out,2017-05-17
0,1,2016,August,32,2,0,1,1,2,0,BB       ,BEL,Online TA,TA/TO,0,0,0,D               ,D               ,1,No Deposit     ,9,       NULL,0,Transient,181,0,1,Check-Out,2016-08-03
1,160,2016,June,25,12,2,2,2,0,0,BB       ,USA,Online TA,TA/TO,0,0,0,B               ,B               ,1,No Deposit     ,9,       NULL,0,Transient-Party,103.22,0,1,Canceled,2016-01-11
0,177,2017,August,35,29,0,5,2,0,0,BB       ,BEL,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,135.9,0,2,Check-Out,2017-09-03
0,159,2016,April,15,9,1,1,3,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,1,No Deposit     ,3,       NULL,0,Transient-Party,100,0,1,Check-Out,2016-04-11
0,35,2015,November,48,26,0,3,1,0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Contract,85.5,0,2,Check-Out,2015-11-29
1,128,2017,July,30,24,1,3,2,1,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,22,       NULL,0,Transient,93.6,0,1,Canceled,2017-06-06
0,189,2016,May,21,19,0,3,2,0,0,BB       ,FRA,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,1,       NULL,0,Transient-Party,65,0,0,Check-Out,2016-05-22
0,76,2017,March,11,15,0,3,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,106.2,0,1,Check-Out,2017-03-18
1,104,2015,December,49,3,0,3,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,55,       NULL,0,Transient,75,0,0,Canceled,2015-09-07
1,60,2017,March,11,18,0,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,106.2,0,0,Canceled,2017-02-06
0,0,2016,November,46,10,0,2,2,0,0,BB       ,PRT,Complementary,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,0,0,0,Check-Out,2016-11-12
0,22,2017,March,10,5,2,3,2,0,0,SC       ,FIN,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,74.8,0,0,Check-Out,2017-03-10
1,64,2017,August,31,3,0,3,1,0,0,BB       ,ITA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,140,0,1,Canceled,2017-05-31
0,0,2016,June,25,15,0,1,1,0,0,BB       ,PRT,Complementary,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,46,0,Transient,0,0,0,Check-Out,2016-06-16
1,207,2017,July,28,12,2,5,2,0,0,BB       ,NLD,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,107.1,0,1,Canceled,2016-12-19
0,154,2017,July,29,19,2,5,2,0,0,BB       ,BEL,Online TA,TA/TO,0,0,0,D               ,D               ,2,No Deposit     ,9,       NULL,0,Transient,131.31,0,1,Check-Out,2017-07-26
0,256,2016,October,43,16,2,3,2,0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,333,0,Transient-Party,100.75,0,0,Check-Out,2016-10-21
0,2,2016,September,39,22,0,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,D               ,F               ,0,No Deposit     ,9,       NULL,0,Transient,210,0,2,Check-Out,2016-09-23
0,20,2017,May,20,15,1,2,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,163.33,0,2,Check-Out,2017-05-18
1,50,2016,April,15,4,1,3,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,112.2,0,0,Canceled,2016-02-14
1,95,2016,November,45,5,0,1,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,75,0,0,Canceled,2016-10-21
0,5,2017,March,12,22,0,0,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,0,0,0,Check-Out,2017-03-22
0,3,2016,November,47,14,9,25,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,3,No Deposit     ,       NULL,368,0,Transient,93,0,0,Check-Out,2016-12-18
0,158,2017,March,13,27,1,1,2,0,0,BB       ,ISR,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,37,       NULL,0,Transient-Party,95,0,1,Check-Out,2017-03-29
1,74,2016,July,28,9,0,1,2,0,0,BB       ,ISR,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,127.8,0,0,Canceled,2016-04-28
1,374,2015,October,44,26,1,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,1,0,A               ,A               ,0,Non Refund     ,1,       NULL,0,Contract,62,0,0,Canceled,2015-01-01
0,1,2017,January,1,4,1,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,97.16,0,0,Check-Out,2017-01-09
0,98,2016,July,31,24,2,1,3,0,0,BB       ,NLD,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,137.7,0,2,Check-Out,2016-07-27
0,73,2015,November,48,24,0,3,2,0,0,BB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,B               ,2,No Deposit     ,12,       NULL,27,Transient-Party,85.67,0,0,Check-Out,2015-11-27
0,63,2017,May,20,19,0,2,2,0,0,SC       ,AUT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,144,0,2,Check-Out,2017-05-21
1,283,2015,July,31,27,1,1,1,0,0,BB       ,PRT,Groups,TA/TO,0,1,0,A               ,A               ,1,Non Refund     ,1,       NULL,0,Transient-Party,60,0,0,Canceled,2015-07-02
1,169,2016,October,44,25,0,4,2,0,0,BB       ,ROU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,90.9,0,0,Canceled,2016-09-13
1,203,2016,December,49,1,0,3,2,0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,67.5,0,0,Canceled,2016-05-12
1,55,2016,April,15,8,0,1,3,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,9,       NULL,0,Transient,137.7,0,0,Canceled,2016-02-20
1,200,2016,July,29,15,3,7,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,90.95,0,1,Canceled,2016-03-04
0,29,2017,January,3,18,0,3,1,0,0,BB       ,FRA,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,171,       NULL,0,Transient-Party,65,0,0,Check-Out,2017-01-21
0,0,2015,August,32,6,0,1,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Contract,80,1,2,Check-Out,2015-08-07
0,138,2016,August,36,29,1,1,2,0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,96.3,0,0,Check-Out,2016-08-31
0,12,2017,May,22,30,0,1,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,477,0,Transient,144,0,1,Check-Out,2017-05-31
1,333,2016,September,39,20,0,2,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,1,0,A               ,A               ,0,Non Refund     ,58,       NULL,19,Transient,90,0,0,Canceled,2015-11-11
0,12,2015,December,49,5,1,1,2,0,0,BB       ,ESP,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,28,       NULL,0,Transient,55,0,1,Check-Out,2015-12-07
0,23,2017,August,35,27,1,0,2,0,0,BB       ,BGR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,98.1,0,1,Check-Out,2017-08-28
0,46,2017,March,9,4,2,3,2,0,0,BB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,28,       NULL,0,Transient,75,0,0,Check-Out,2017-03-09
0,129,2017,July,27,6,1,3,2,0,0,SC       ,CHE,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,9,       NULL,0,Transient,89.1,0,0,Check-Out,2017-07-10
1,341,2015,September,39,23,0,2,2,0,0,BB       ,PRT,Groups,TA/TO,0,1,0,A               ,A               ,0,Non Refund     ,1,       NULL,0,Transient-Party,62,0,0,Canceled,2015-07-02
0,45,2017,August,35,27,1,0,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,19,       NULL,0,Transient-Party,115,0,0,Check-Out,2017-08-28
0,44,2017,July,31,30,2,2,1,0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,9,       NULL,0,Transient,160,0,1,Check-Out,2017-08-03
