IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
0,80,2015,July,31,31,2,4,2,0,0,BB       ,BEL,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,170.33,1,1,Check-Out,2015-08-06
0,76,2015,September,39,23,2,7,2,0,0,BB       ,POL,Offline TA/TO,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,69,       NULL,0,Contract,64,0,0,Check-Out,2015-10-02
1,81,2017,May,20,17,0,4,2,2,0,BB       ,GBR,Online TA,TA/TO,0,0,0,C               ,C               ,0,No Deposit     ,240,       NULL,0,Transient,123,0,2,Canceled,2017-04-11
0,37,2016,March,13,24,1,3,1,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,241,       NULL,0,Transient,59.07,0,2,Check-Out,2016-03-28
0,57,2017,January,3,17,2,5,2,0,0,BB       ,NLD,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,240,       NULL,0,Transient,42,0,1,Check-Out,2017-01-24
1,187,2016,July,32,31,2,5,2,0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,314,       NULL,0,Transient,150.8,0,0,Canceled,2016-01-28
0,1,2016,February,8,17,0,2,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,232,0,Transient,46,1,0,Check-Out,2016-02-19
0,142,2017,August,34,26,2,5,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,96,       NULL,0,Transient,169,0,0,Check-Out,2017-09-02
1,65,2016,October,41,4,0,1,2,0,0,BB       ,ISR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,79,0,0,Canceled,2016-08-17
1,119,2016,May,20,13,2,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,88,0,2,Canceled,2016-01-18
1,173,2016,July,31,25,2,5,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,11,       NULL,0,Transient,115.2,0,0,Canceled,2016-07-22
1,198,2016,October,42,15,2,5,2,2,0,BB       ,AUT,Online TA,TA/TO,0,0,0,G               ,G               ,1,No Deposit     ,240,       NULL,0,Transient-Party,124.14,0,0,Canceled,2016-08-02
0,30,2017,August,35,29,2,5,2,1,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,314,       NULL,0,Transient,147.01,0,0,Check-Out,2017-09-05
1,46,2017,March,10,11,2,5,2,0,0,BB       ,POL,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,89,0,0,Canceled,2017-03-02
